name,type,category,power,accuracy,PP,effect,effectProbability
Guardian of Alola,Fairy,special,—,—,1,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,—
Guillotine,Normal,physical,—,30,5,"One-Hit-KO, if it hits.",—
Gunk Shot,Poison,physical,120,80,5,May poison opponent.,30
Gust,Flying,special,40,100,35,Hits Pokémon using Fly/Bounce/Sky Drop with double power.,—
Gyro Ball,Steel,physical,—,100,5,"The slower the user, the stronger the attack.",—
Hail,Ice,status,—,—,10,Non-Ice types are damaged for 5 turns.,—
Hammer Arm,Fighting,physical,100,90,10,Lowers user's Speed.,100
Happy Hour,Normal,status,—,—,30,Doubles prize money from trainer battles.,—
Hard Press,Steel,physical,—,100,10,,—
Harden,Normal,status,—,—,30,Raises user's Defense.,—
Haze,Ice,status,—,—,30,Resets all stat changes.,—
Head Charge,Normal,physical,120,100,15,User receives recoil damage.,—
Head Smash,Rock,physical,150,80,5,User receives recoil damage.,—
Headbutt,Normal,physical,70,100,15,May cause flinching.,30
Headlong Rush,Ground,physical,120,100,5,Lowers user's Defense.,—
Heal Bell,Normal,status,—,—,5,Heals the user's party's status conditions.,—
Heal Block,Psychic,status,—,100,15,Prevents the opponent from restoring HP for 5 turns.,—
Heal Order,Bug,status,—,—,10,User recovers half its max HP.,—
Heal Pulse,Psychic,status,—,—,10,Restores half the target's max HP.,—
Healing Wish,Psychic,status,—,—,10,The user faints and the next Pokémon released is fully healed.,—
Heart Stamp,Psychic,physical,60,100,25,May cause flinching.,30
Heart Swap,Psychic,status,—,—,10,Stat changes are swapped with the opponent.,—
Heat Crash,Fire,physical,—,100,10,"The heavier the user, the stronger the attack.",—
Heat Wave,Fire,special,95,90,10,May burn opponent.,10
Heavy Slam,Steel,physical,—,100,10,"The heavier the user, the stronger the attack.",—
Helping Hand,Normal,status,—,—,20,"In Double Battles, boosts the power of the partner's move.",—
Hex,Ghost,special,65,100,10,Inflicts more damage if the target has a status condition.,—
Hidden Power,Normal,special,60,100,15,Type and power depends on user's IVs.,—
High Horsepower,Ground,physical,95,95,10,The user fiercely attacks the target using its entire body.,—
High Jump Kick,Fighting,physical,130,90,10,"If it misses, the user loses half their HP.",—
Hold Back,Normal,physical,40,100,40,Always leaves opponent with at least 1 HP.,—
Hold Hands,Normal,status,—,—,40,Makes the user and an ally very happy.,—
Hone Claws,Dark,status,—,—,15,Raises user's Attack and Accuracy.,—
Horn Attack,Normal,physical,65,100,25,,—
Horn Drill,Normal,physical,—,30,5,"One-Hit-KO, if it hits.",—
Horn Leech,Grass,physical,75,100,10,User recovers half the HP inflicted on opponent.,—
Howl,Normal,status,—,—,40,Raises Attack of allies.,—
Hurricane,Flying,special,110,70,10,May confuse opponent.,30
Hydro Cannon,Water,special,150,90,5,User must recharge next turn.,—
Hydro Pump,Water,special,110,80,5,,—
Hydro Steam,Water,special,80,100,15,Power increases in harsh sunlight.,—
Hydro Vortex,Water,,—,—,1,Water type Z-Move.,—
Hyper Beam,Normal,special,150,90,5,User must recharge next turn.,—
Hyper Drill,Normal,physical,100,100,5,Can strike through Protect/Detect.,—
Hyper Fang,Normal,physical,80,90,15,May cause flinching.,10
Hyper Voice,Normal,special,90,100,10,,—
Hyperspace Fury,Dark,physical,100,∞,5,Lowers user's Defense. Can strike through Protect/Detect.,100
Hyperspace Hole,Psychic,special,80,∞,5,Can strike through Protect/Detect.,—
Hypnosis,Psychic,status,—,60,20,Puts opponent to sleep.,—
Ice Ball,Ice,physical,30,90,20,Doubles in power each turn for 5 turns.,—
Ice Beam,Ice,special,90,100,10,May freeze opponent.,10
Ice Burn,Ice,special,140,90,5,"Charges on first turn, attacks on second. May burn opponent.",30
Ice Fang,Ice,physical,65,95,15,May cause flinching and/or freeze opponent.,10
Ice Hammer,Ice,physical,100,90,10,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100
Ice Punch,Ice,physical,75,100,15,May freeze opponent.,10
Ice Shard,Ice,physical,40,100,30,User attacks first.,—
Ice Spinner,Ice,physical,80,100,15,Removes effects of Terrain.,—
Icicle Crash,Ice,physical,85,90,10,May cause flinching.,30
Icicle Spear,Ice,physical,25,100,30,Hits 2-5 times in one turn.,—
Icy Wind,Ice,special,55,95,15,Lowers opponent's Speed.,100
Imprison,Psychic,status,—,—,10,Opponent is unable to use moves that the user also knows.,—
Incinerate,Fire,special,60,100,15,Destroys the target's held berry.,—
Infernal Parade,Ghost,special,60,100,15,Inflicts double damage if the target has a status condition.,—
Inferno,Fire,special,100,50,5,Burns opponent.,100
Inferno Overdrive,Fire,,—,—,1,Fire type Z-Move.,—
Infestation,Bug,special,20,100,20,"Traps opponent, damaging them for 4-5 turns.",100
Ingrain,Grass,status,—,—,20,User restores HP each turn. User cannot escape/switch.,—
Instruct,Psychic,status,—,—,15,Allows an ally to use a move instead.,—
Ion Deluge,Electric,status,—,—,25,Changes Normal-type moves to Electric-type.,—
Iron Defense,Steel,status,—,—,15,Sharply raises user's Defense.,—
Iron Head,Steel,physical,80,100,15,May cause flinching.,30
Iron Tail,Steel,physical,100,75,15,May lower opponent's Defense.,30
Ivy Cudgel,Grass,physical,100,—,—,High critical hit ratio. Type changes based on form.,—
Jaw Lock,Dark,physical,80,100,10,Prevents user and opponent from switching out.,—
Jet Punch,Water,physical,60,100,15,Always goes first.,—
Judgment,Normal,special,100,100,10,Type depends on the Arceus Plate being held.,—
Jump Kick,Fighting,physical,100,95,10,"If it misses, the user loses half their HP.",—
Jungle Healing,Grass,status,—,—,10,Restores team's HP and cures status conditions.,—
Karate Chop,Fighting,physical,50,100,25,High critical hit ratio.,—
Kinesis,Psychic,status,—,80,15,Lowers opponent's Accuracy.,—
King's Shield,Steel,status,—,—,10,Protects the user and lowers opponent's Attack on contact.,—
Knock Off,Dark,physical,65,100,20,Removes opponent's held item for the rest of the battle.,—
Kowtow Cleave,Dark,physical,85,∞,10,Always hits.,—
Land's Wrath,Ground,physical,90,100,10,,—
Laser Focus,Normal,status,—,—,30,User's next attack is guaranteed to result in a critical hit.,—
Lash Out,Dark,physical,75,100,5,Double power if stats were lowered during the turn.,—
Last Resort,Normal,physical,140,100,5,Can only be used after all other moves are used.,—
Last Respects,Ghost,physical,50,100,10,Damages increases the more party Pokémon have been defeated.,—
Lava Plume,Fire,special,80,100,15,May burn opponent.,30
Leaf Blade,Grass,physical,90,100,15,High critical hit ratio.,—
Leaf Storm,Grass,special,130,90,5,Sharply lowers user's Special Attack.,100
Leaf Tornado,Grass,special,65,90,10,May lower opponent's Accuracy.,50
Leafage,Grass,physical,40,100,40,Strikes opponent with leaves.,—
Leech Life,Bug,physical,80,100,10,User recovers half the HP inflicted on opponent.,—
Leech Seed,Grass,status,—,90,10,Drains HP from opponent each turn.,—
Leer,Normal,status,—,100,30,Lowers opponent's Defense.,100
Let's Snuggle Forever,Fairy,physical,190,—,1,Mimikyu-exclusive Z-Move.,—
Lick,Ghost,physical,30,100,30,May paralyze opponent.,30
Life Dew,Water,status,—,—,10,User and teammates recover HP.,—
Light of Ruin,Fairy,special,140,90,5,User receives recoil damage.,—
Light Screen,Psychic,status,—,—,30,Halves damage from Special attacks for 5 turns.,—
Light That Burns the Sky,Psychic,special,200,—,1,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,—
Liquidation,Water,physical,85,100,10,May lower opponent's Defense.,20
Lock-On,Normal,status,—,—,5,User's next attack is guaranteed to hit.,—
Lovely Kiss,Normal,status,—,75,10,Puts opponent to sleep.,—
Low Kick,Fighting,physical,—,100,20,"The heavier the opponent, the stronger the attack.",—
Low Sweep,Fighting,physical,65,100,20,Lowers opponent's Speed.,100
Lucky Chant,Normal,status,—,—,30,Opponent cannot land critical hits for 5 turns.,—
Lumina Crash,Psychic,special,80,100,10,Harshly lowers target’s Special Defense.,—
Lunar Blessing,Psychic,status,—,—,5,Heals user's status conditions and recovers HP.,—
Lunar Dance,Psychic,status,—,—,10,The user faints but the next Pokémon released is fully healed.,—
Lunge,Bug,physical,80,100,15,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100
Luster Purge,Psychic,special,95,100,5,May lower opponent's Special Defense.,50
Mach Punch,Fighting,physical,40,100,30,User attacks first.,—
Magic Coat,Psychic,status,—,—,15,Reflects moves that cause status conditions back to the attacker.,—
Magic Powder,Psychic,status,—,100,20,Changes target's type to Psychic.,—
Magic Room,Psychic,status,—,—,10,Suppresses the effects of held items for five turns.,—
Magical Leaf,Grass,special,60,∞,20,Ignores Accuracy and Evasiveness.,—
Magical Torque,Fairy,physical,100,100,10,May confuse the opponent.,—
Magma Storm,Fire,special,100,75,5,"Traps opponent, damaging them for 4-5 turns.",100
Magnet Bomb,Steel,physical,60,∞,20,Ignores Accuracy and Evasiveness.,—
Magnet Rise,Electric,status,—,—,10,User becomes immune to Ground-type moves for 5 turns.,—
Magnetic Flux,Electric,status,—,—,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,—
Magnitude,Ground,physical,—,100,30,Hits with random power.,—
Make It Rain,Steel,special,120,100,5,Lowers user's Special Attack. Money is earned after the battle.,—
Malicious Moonsault,Dark,physical,180,—,1,Incineroar-exclusive Z-Move.,—
Malignant Chain,Poison,special,100,100,5,May poison the opponent.,—
Mat Block,Fighting,status,—,—,10,Protects teammates from damaging moves.,—
Matcha Gotcha,Grass,special,80,90,15,"Deals damage, restores HP, may burn opponent.",20
Max Airstream,Flying,,—,—,—,Flying type Dynamax move. Raises the team's Speed.,100
Max Darkness,Dark,,—,—,—,Dark type Dynamax move. Lowers the target's Special Defense.,100
Max Flare,Fire,,—,—,—,Fire type Dynamax move. Summons harsh sunlight.,—
Max Flutterby,Bug,,—,—,—,Bug type Dynamax move. Lowers the target's Special Attack.,100
Max Geyser,Water,,—,—,—,Water type Dynamax move. Summons heavy rain.,—
Max Guard,Normal,,—,—,—,Status category Dynamax move. Protects the user.,—
Max Hailstorm,Ice,,—,—,—,Ice type Dynamax move. Summons hail.,—
Max Knuckle,Fighting,,—,—,—,Fighting type Dynamax move. Increases the team's Attack.,100
Max Lightning,Electric,,—,—,—,Electric type Dynamax move. Summons Electric Terrain.,—
Max Mindstorm,Psychic,,—,—,—,Psychic type Dynamax move. Summons Psychic Terrain.,—
Max Ooze,Poison,,—,—,—,Poison type Dynamax move. Increases the team's Special Attack.,100
Max Overgrowth,Grass,,—,—,—,Grass type Dynamax move. Summons Grassy Terrain.,—
Max Phantasm,Ghost,,—,—,—,Ghost type Dynamax move. Lowers the target's Defense.,100
Max Quake,Ground,,—,—,—,Ground type Dynamax move. Increases the team's Special Defense.,100
Max Rockfall,Rock,,—,—,—,Rock type Dynamax move. Summons a sandstorm.,—
Max Starfall,Fairy,,—,—,—,Fairy type Dynamax move. Summons Misty Terrain.,—
Max Steelspike,Steel,,—,—,—,Steel type Dynamax move. Raises the team's Defense.,100
Max Strike,Normal,,—,—,—,Normal type Dynamax move. Lowers the target's Speed.,100
Max Wyrmwind,Dragon,,—,—,—,Dragon type Dynamax move. Lowers the target's Attack.,100
Me First,Normal,status,—,—,20,User copies the opponent's attack with 1.5× power.,—
Mean Look,Normal,status,—,—,5,Opponent cannot flee or switch.,—
Meditate,Psychic,status,—,—,40,Raises user's Attack.,—
Mega Drain,Grass,special,40,100,15,User recovers half the HP inflicted on opponent.,—
Mega Kick,Normal,physical,120,75,5,,—
Mega Punch,Normal,physical,80,85,20,,—
Megahorn,Bug,physical,120,85,10,,—
Memento,Dark,status,—,100,10,"User faints, sharply lowers opponent's Attack and Special Attack.",—
Menacing Moonraze Maelstrom,Ghost,special,200,—,1,Lunala-exclusive Z-Move.,—
Metal Burst,Steel,physical,—,100,10,Deals damage equal to 1.5x opponent's attack.,—
Metal Claw,Steel,physical,50,95,35,May raise user's Attack.,10
Metal Sound,Steel,status,—,85,40,Sharply lowers opponent's Special Defense.,—
Meteor Assault,Fighting,physical,150,100,5,User must recharge next turn.,—
Meteor Beam,Rock,special,120,90,10,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",—
Meteor Mash,Steel,physical,90,90,10,May raise user's Attack.,20
Metronome,Normal,status,—,—,10,User performs almost any move in the game at random.,—
Mighty Cleave,Rock,physical,95,100,5,,—
Milk Drink,Normal,status,—,—,5,User recovers half its max HP.,—
Mimic,Normal,status,—,—,10,Copies the opponent's last move.,—
Mind Blown,Fire,special,150,100,5,User receives recoil damage.,—
Mind Reader,Normal,status,—,—,5,User's next attack is guaranteed to hit.,—
Minimize,Normal,status,—,—,10,Sharply raises user's Evasiveness.,—
Miracle Eye,Psychic,status,—,—,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",—
Mirror Coat,Psychic,special,—,100,20,"When hit by a Special Attack, user strikes back with 2x power.",—
Mirror Move,Flying,status,—,—,20,User performs the opponent's last move.,—
Mirror Shot,Steel,special,65,85,10,May lower opponent's Accuracy.,30
Mist,Ice,status,—,—,30,User's stats cannot be changed for a period of time.,—
Mist Ball,Psychic,special,95,100,5,May lower opponent's Special Attack.,50
Misty Explosion,Fairy,special,100,100,5,Power increases on Misty Terrain.,—
Misty Terrain,Fairy,status,—,—,10,Protects the field from status conditions for 5 turns.,—
Moonblast,Fairy,special,95,100,15,May lower opponent's Special Attack.,30
Moongeist Beam,Ghost,special,100,100,5,Ignores the target's ability.,—
Moonlight,Fairy,status,—,—,5,User recovers HP. Amount varies with the weather.,—
Morning Sun,Normal,status,—,—,5,User recovers HP. Amount varies with the weather.,—
Mortal Spin,Poison,physical,30,100,15,"Removes entry hazards and trap move effects, and poisons opposing Pokémon.",—
Mountain Gale,Ice,physical,100,85,10,Lowers user's Speed.,—
Mud Bomb,Ground,special,65,85,10,May lower opponent's Accuracy.,30
Mud Shot,Ground,special,55,95,15,Lowers opponent's Speed.,100
Mud Sport,Ground,status,—,—,15,Weakens the power of Electric-type moves.,—
Mud-Slap,Ground,special,20,100,10,Lowers opponent's Accuracy.,100
Muddy Water,Water,special,90,85,10,May lower opponent's Accuracy.,30
Multi-Attack,Normal,physical,120,100,10,Type matches Memory item held.,—
Mystical Fire,Fire,special,75,100,10,Lowers opponent's Special Attack.,100
Mystical Power,Psychic,special,70,90,10,Raises user's Special Attack.,—
Nasty Plot,Dark,status,—,—,20,Sharply raises user's Special Attack.,—
Natural Gift,Normal,physical,—,100,15,Power and type depend on the user's held berry.,—
Nature Power,Normal,status,—,—,20,Uses a certain move based on the current terrain.,—
Nature's Madness,Fairy,special,—,90,10,Halves the foe's HP.,—
Needle Arm,Grass,physical,60,100,15,May cause flinching.,30
Never-Ending Nightmare,Ghost,,—,—,1,Ghost type Z-Move.,—
Night Daze,Dark,special,85,95,10,May lower opponent's Accuracy.,40
Night Shade,Ghost,special,—,100,15,Inflicts damage equal to user's level.,—
Night Slash,Dark,physical,70,100,15,High critical hit ratio.,—
Nightmare,Ghost,status,—,100,15,The sleeping opponent loses 25% of its max HP each turn.,—
No Retreat,Fighting,status,—,—,5,Raises all stats but user cannot switch out.,100
Noble Roar,Normal,status,—,100,30,Lowers opponent's Attack and Special Attack.,100
Noxious Torque,Poison,physical,100,100,10,May poison the opponent.,—
Nuzzle,Electric,physical,20,100,20,Paralyzes opponent.,100
Oblivion Wing,Flying,special,80,100,10,User recovers most of the HP inflicted on opponent.,—
Obstruct,Dark,status,—,100,10,Protects the user and sharply lowers Defence on contact.,—
Oceanic Operetta,Water,special,195,—,1,Primarina-exclusive Z-Move.,—
Octazooka,Water,special,65,85,10,May lower opponent's Accuracy.,50
Octolock,Fighting,status,—,100,15,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",—
Odor Sleuth,Normal,status,—,—,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.",—
Ominous Wind,Ghost,special,60,100,5,May raise all user's stats at once.,10
Order Up,Dragon,physical,80,100,10,Boosts Attack/Defense/Speed depending on ally Tatsugiri.,—
Origin Pulse,Water,special,110,85,10,Hits all adjacent opponents.,—
Outrage,Dragon,physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,—
Overdrive,Electric,special,80,100,10,Hits all adjacent opponents.,—
Overheat,Fire,special,130,90,5,Sharply lowers user's Special Attack.,100
Pain Split,Normal,status,—,—,20,The user's and opponent's HP becomes the average of both.,—
Parabolic Charge,Electric,special,65,100,20,User recovers half the HP inflicted on opponent.,—
Parting Shot,Dark,status,—,100,20,Lowers opponent's Attack and Special Attack then switches out. ,100
Pay Day,Normal,physical,40,100,20,Money is earned after the battle.,—
Payback,Dark,physical,50,100,10,Power doubles if the user was attacked first.,—
Peck,Flying,physical,35,100,35,,—
Perish Song,Normal,status,—,—,5,Any Pokémon in play when this attack is used faints in 3 turns.,—
Petal Blizzard,Grass,physical,90,100,15,Hits all adjacent Pokémon.,—
Petal Dance,Grass,special,120,100,10,User attacks for 2-3 turns but then becomes confused.,—
Phantom Force,Ghost,physical,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
Photon Geyser,Psychic,special,100,100,5,"Uses Attack or Special Attack stat, whichever is higher.",—
Pika Papow,Electric,special,—,∞,20,Power increases when player's bond is stronger.,—
Pin Missile,Bug,physical,25,95,20,Hits 2-5 times in one turn.,—
Plasma Fists,Electric,physical,100,100,15,Changes Normal-type moves to Electric-type moves.,—
Play Nice,Normal,status,—,—,20,Lowers opponent's Attack. Always hits.,100
Play Rough,Fairy,physical,90,90,10,May lower opponent's Attack.,10
Pluck,Flying,physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user.",—
Poison Fang,Poison,physical,50,100,15,May badly poison opponent.,50
Poison Gas,Poison,status,—,90,40,Poisons opponent.,—
Poison Jab,Poison,physical,80,100,20,May poison the opponent.,30
Poison Powder,Poison,status,—,75,35,Poisons opponent.,—
Poison Sting,Poison,physical,15,100,35,May poison the opponent.,30
Poison Tail,Poison,physical,50,100,25,High critical hit ratio. May poison opponent.,10
Pollen Puff,Bug,special,90,100,15,Deals damage to opponent or restores HP of teammate.,—
Poltergeist,Ghost,physical,110,90,5,Fails if the target doesn’t have an item.,—
Population Bomb,Normal,physical,20,90,10,Hits 1-10 times in a row.,—
Pounce,Bug,physical,50,100,20,Lowers opponent's Speed.,100
Pound,Normal,physical,40,100,35,,—
Powder,Bug,status,—,100,20,Damages Pokémon using Fire type moves.,—
Powder Snow,Ice,special,40,100,25,May freeze opponent.,10
Power Gem,Rock,special,80,100,20,,—
Power Shift,Normal,status,—,—,10,Switches Attack and Defense stats.,—
Power Split,Psychic,status,—,—,10,Averages Attack and Special Attack with the target.,—
Power Swap,Psychic,status,—,—,10,User and opponent swap Attack and Special Attack.,—
Power Trick,Psychic,status,—,—,10,User's own Attack and Defense switch.,—
Power Trip,Dark,physical,20,100,10,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",—
Power Whip,Grass,physical,120,85,10,,—
Power-Up Punch,Fighting,physical,40,100,20,Raises Attack.,100
Precipice Blades,Ground,physical,120,85,10,Hits all adjacent opponents.,—
Present,Normal,physical,—,90,15,Either deals damage or heals.,—
Prismatic Laser,Psychic,special,160,100,10,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,—
Protect,Normal,status,—,—,10,"Protects the user, but may fail if used consecutively.",—
Psybeam,Psychic,special,65,100,20,May confuse opponent.,10
Psyblade,Psychic,physical,80,100,15,Power increases on Electric Terrain.,—
Psych Up,Normal,status,—,—,10,Copies the opponent's stat changes.,—
Psychic,Psychic,special,90,100,10,May lower opponent's Special Defense.,10
Psychic Fangs,Psychic,physical,85,100,10,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,—
Psychic Noise,Psychic,special,75,100,10,Deals damage and prevents target from healing.,—
Psychic Terrain,Psychic,status,—,—,10,Prevents priority moves from being used for 5 turns.,—
Psycho Boost,Psychic,special,140,90,5,Sharply lowers user's Special Attack.,100
Psycho Cut,Psychic,physical,70,100,20,High critical hit ratio.,—
Psycho Shift,Psychic,status,—,100,10,Transfers user's status condition to the opponent.,—
Psyshield Bash,Psychic,physical,70,90,10,Raises user's Defense and Special Defense.,—
Psyshock,Psychic,special,80,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",—
Psystrike,Psychic,special,100,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",—
Psywave,Psychic,special,—,100,15,Inflicts damage 50-150% of user's level.,—
Pulverizing Pancake,Normal,physical,210,—,1,Snorlax-exclusive Normal type Z-Move.,—
Punishment,Dark,physical,—,100,5,Power increases when opponent's stats have been raised.,—
Purify,Poison,status,—,—,20,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",—
Pursuit,Dark,physical,40,100,20,Double power if the opponent is switching out.,—
Pyro Ball,Fire,physical,120,90,5,May burn opponent.,10
Quash,Dark,status,—,100,15,Makes the target act last this turn.,—
Quick Attack,Normal,physical,40,100,30,User attacks first.,—
Quick Guard,Fighting,status,—,—,15,Protects the user's team from high-priority moves.,—
Quiver Dance,Bug,status,—,—,20,"Raises user's Special Attack, Special Defense and Speed.",—
Rage,Normal,physical,20,100,20,Raises user's Attack when hit.,—
Rage Fist,Ghost,physical,50,100,10,"The more times the user has been hit by attacks, the greater the move's power.",—
Rage Powder,Bug,status,—,—,20,"Forces attacks to hit user, not team-mates.",—
Raging Bull,Normal,physical,90,100,10,Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.,—
Raging Fury,Fire,physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,—
Rain Dance,Water,status,—,—,5,Makes it rain for 5 turns.,—
Rapid Spin,Normal,physical,50,100,40,Raises user's Speed and removes entry hazards and trap move effects.,100
Razor Leaf,Grass,physical,55,95,25,High critical hit ratio.,—
Razor Shell,Water,physical,75,95,10,May lower opponent's Defense.,50
Razor Wind,Normal,special,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio.",—
Recover,Normal,status,—,—,5,User recovers half its max HP.,—
Recycle,Normal,status,—,—,10,User's used hold item is restored.,—
Reflect,Psychic,status,—,—,20,Halves damage from Physical attacks for 5 turns.,—
Reflect Type,Normal,status,—,—,15,User becomes the target's type.,—
Refresh,Normal,status,—,—,20,"Cures paralysis, poison, and burns.",—
Relic Song,Normal,special,75,100,10,May put the target to sleep.,10
Rest,Psychic,status,—,—,5,"User sleeps for 2 turns, but user is fully healed.",—
Retaliate,Normal,physical,70,100,5,Inflicts double damage if a teammate fainted on the last turn.,—
Return,Normal,physical,—,100,20,Power increases with higher Friendship.,—
Revelation Dance,Normal,special,90,100,15,Type changes based on Oricorio's form.,—
Revenge,Fighting,physical,60,100,10,Power increases if user was hit first.,—
Reversal,Fighting,physical,—,100,15,"The lower the user's HP, the higher the power.",—
Revival Blessing,Normal,status,—,—,1,Revives a fainted party Pokémon to half HP.,—
Rising Voltage,Electric,special,70,100,20,Power doubles on Electric Terrain.,—
Roar,Normal,status,—,—,20,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Roar of Time,Dragon,special,150,90,5,User must recharge next turn.,—
Rock Blast,Rock,physical,25,90,10,Hits 2-5 times in one turn.,—
Rock Climb,Normal,physical,90,85,20,May confuse opponent.,20
Rock Polish,Rock,status,—,—,20,Sharply raises user's Speed.,—
Rock Slide,Rock,physical,75,90,10,May cause flinching.,30
Rock Smash,Fighting,physical,40,100,15,May lower opponent's Defense.,50
Rock Throw,Rock,physical,50,90,15,,—
Rock Tomb,Rock,physical,60,95,15,Lowers opponent's Speed.,100
Rock Wrecker,Rock,physical,150,90,5,User must recharge next turn.,—
Role Play,Psychic,status,—,—,10,User copies the opponent's Ability.,—
Rolling Kick,Fighting,physical,60,85,15,May cause flinching.,30
Rollout,Rock,physical,30,90,20,Doubles in power each turn for 5 turns.,—
Roost,Flying,status,—,—,5,User recovers half of its max HP and loses the Flying type temporarily.,—
Rototiller,Ground,status,—,—,10,Raises Attack and Special Attack of Grass-types.,100
Round,Normal,special,60,100,15,Power increases if teammates use it in the same turn.,—
Ruination,Dark,special,—,90,10,Halves the opponent's HP.,—
Sacred Fire,Fire,physical,100,95,5,May burn opponent.,50
Sacred Sword,Fighting,physical,90,100,15,Ignores opponent's stat changes.,—
Safeguard,Normal,status,—,—,25,The user's party is protected from status conditions.,—
Salt Cure,Rock,physical,40,100,15,Deals damage each turn; Steel and Water types are more affected.,—
Sand Attack,Ground,status,—,100,15,Lowers opponent's Accuracy.,—
Sand Tomb,Ground,physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
Sandsear Storm,Ground,special,100,80,10,May burn target.,—
Sandstorm,Rock,status,—,—,10,Creates a sandstorm for 5 turns.,—
Sappy Seed,Grass,physical,90,100,15,Drains HP from opponent each turn.,100
Savage Spin-Out,Bug,,—,—,1,Bug type Z-Move.,—
Scald,Water,special,80,100,15,May burn opponent.,30
Scale Shot,Dragon,physical,25,90,20,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,—
Scary Face,Normal,status,—,100,10,Sharply lowers opponent's Speed.,—
Scorching Sands,Ground,special,70,100,10,May burn the target.,—
Scratch,Normal,physical,40,100,35,,—
Screech,Normal,status,—,85,40,Sharply lowers opponent's Defense.,—
Searing Shot,Fire,special,100,100,5,May burn opponent.,30
Searing Sunraze Smash,Steel,physical,200,—,1,Solgaleo-exclusive Z-Move.,—
Secret Power,Normal,physical,70,100,20,Effects of the attack vary with the location.,30
Secret Sword,Fighting,special,85,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",—
Seed Bomb,Grass,physical,80,100,15,,—
Seed Flare,Grass,special,120,85,5,May lower opponent's Special Defense.,40
Seismic Toss,Fighting,physical,—,100,20,Inflicts damage equal to user's level.,—
Self-Destruct,Normal,physical,200,100,5,User faints.,—
Shadow Ball,Ghost,special,80,100,15,May lower opponent's Special Defense.,20
Shadow Bone,Ghost,physical,85,100,10,May lower opponent's Defense.,20
Shadow Claw,Ghost,physical,70,100,15,High critical hit ratio.,—
Shadow Force,Ghost,physical,120,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
Shadow Punch,Ghost,physical,60,∞,20,Ignores Accuracy and Evasiveness.,—
Shadow Sneak,Ghost,physical,40,100,30,User attacks first.,—
Sharpen,Normal,status,—,—,30,Raises user's Attack.,—
Shattered Psyche,Psychic,,—,—,1,Psychic type Z-Move.,—
Shed Tail,Normal,status,—,—,10,"Creates a substitute, then swaps places with a party Pokémon in waiting.",—
Sheer Cold,Ice,special,—,30,5,"One-Hit-KO, if it hits.",—
Shell Side Arm,Poison,special,90,100,10,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",—
Shell Smash,Normal,status,—,—,15,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",—
Shell Trap,Fire,special,150,100,5,Deals more damage to opponent if hit by a Physical move.,—
Shelter,Steel,status,—,—,10,Raises user's Defense.,—
Shift Gear,Steel,status,—,—,10,Raises user's Attack and sharply raises Speed.,—
Shock Wave,Electric,special,60,∞,20,Ignores Accuracy and Evasiveness.,—
Shore Up,Ground,status,—,—,5,The user regains up to half of its max HP. It restores more HP in a sandstorm.,—
Signal Beam,Bug,special,75,100,15,May confuse opponent.,10
Silk Trap,Bug,status,—,—,10,Protects the user and lowers opponent's Speed on contact.,—
Silver Wind,Bug,special,60,100,5,May raise all stats of user at once.,10
Simple Beam,Normal,status,—,100,15,Changes target's ability to Simple.,—
Sing,Normal,status,—,55,15,Puts opponent to sleep.,—
Sinister Arrow Raid,Ghost,physical,180,—,1,Decidueye-exclusive Z-Move.,—
Sizzly Slide,Fire,physical,90,100,15,Burns the opponent.,100
Sketch,Normal,status,—,—,1,Permanently copies the opponent's last move.,—
Skill Swap,Psychic,status,—,—,10,The user swaps Abilities with the opponent.,—
Skitter Smack,Bug,physical,70,90,10,Lowers opponent's Sp. Attack.,—
